종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"305720","KODEX 2차전지산업","14755","230","1.58","14750.71","14550","14780","14445","3909498","57212706618","1593540000000","1600452315435","108000000","FnGuide 2차전지 산업 지수","2574.91","40.08","1.58"
"462330","KODEX 2차전지산업레버리지","1455","46","3.26","1457.37","1418","1462","1396","42255593","60550264757","576325500000","579450474104","396100000","FnGuide 2차전지 산업 지수","2574.91","40.08","1.58"
"461950","KODEX 2차전지핵심소재10","5580","120","2.20","5579.32","5505","5615","5440","2429813","13427865617","229059000000","226799483539","41050000","FnGuide 2차전지핵심소재10 지수","4959.84","87.44","1.79"
"457690","KODEX 33-06 국고채액티브","10720","-45","-0.42","10724.74","10790","10810","10710","67032","720876350","20475200000","20484254927","1910000","KAP 33-06 국고채 총수익 지수","113.21","-0.49","-0.43"
"271060","KODEX 3대농산물선물(H)","7620","25","0.33","7584.10","7590","7635","7565","36907","280559650","23774400000","24117450392","3120000","S&P GSCI Grains Select Index ER","15.74","0.01","0.04"
"457700","KODEX 53-09 국고채액티브","10950","-120","-1.08","10961.34","11105","11125","10940","1723","19024275","14673000000","14688197202","1340000","KAP 53-09 국고채 총수익 지수","109.54","-1.00","-0.90"
"395160","KODEX AI반도체","20580","260","1.28","20536.18","20110","20580","19970","3808927","77130393469","1864548000000","1903703447738","90600000","FnGuide AI반도체지수","4726.27","60.74","1.30"
"471990","KODEX AI반도체핵심장비","17340","135","0.78","17396.27","16940","17420","16940","980520","16877831776","240159000000","239198666096","13850000","iSelect AI 반도체핵심장비 지수","4872.57","54.18","1.12"
"487240","KODEX AI전력핵심설비","26425","25","0.09","26433.94","26625","27330","26125","5604562","149605329802","1252545000000","1263542556492","47400000","iSelect AI 전력핵심설비 지수(Price Return)","15973.06","-7.68","-0.05"
"481050","KODEX CD1년금리플러스액티브(합성)","1023070","240","0.02","1022855.21","1023065","1023070","1023065","9051","9259785236","2996265109000","3005557736507","2928700","KAP 1년은행 CD+추가금리 지수(총수익지수)","1220.84","0.10","0.01"
"459580","KODEX CD금리액티브(합성)","1074965","245","0.02","1074795.01","1074960","1074965","1074960","287482","309032338965","8668410263500","8638557405977","8063900","KAP 양도성예금증서(CD)금리지수(총수익지수)","122.94","0.01","0.01"
"439860","KODEX ESG종합채권(A-이상)액티브","114055","-135","-0.12","113975.89","114260","114270","114035","29127","3321767865","410826110000","410541142318","3602000","KAP ESG 종합채권지수(A- 이상, 총수익)","130.35","-0.17","-0.13"
"266370","KODEX IT","34350","450","1.33","34401.82","33645","34350","33455","20498","693154882","41220000000","41282181584","1200000","KRX 정보기술","2965.51","48.42","1.66"
"368680","KODEX K-뉴딜디지털플러스","8940","20","0.22","8966.39","8970","9035","8940","855","7680210","8940000000","8966391186","1000000","FnGuide K-뉴딜 디지털 플러스 지수","2133.57","5.13","0.24"
"423160","KODEX KOFR금리액티브(합성)","110775","10","0.01","110767.48","110770","110775","110770","405694","44940687707","4426569000000","4442662216611","39960000","KOFR 지수","1177.99","0.08","0.01"
"292190","KODEX KRX300","32135","500","1.58","32027.29","31540","32135","31360","41399","1324990870","41775500000","41635470754","1300000","KRX 300","3118.62","45.73","1.49"
"306950","KODEX KRX300레버리지","46695","1500","3.32","47016.42","45210","46695","44855","7011","322689820","46695000000","47016420788","1000000","KRX 300","3118.62","45.73","1.49"
"229720","KODEX KTOP30","26240","160","0.61","26346.25","26055","26370","25985","5697","148850965","13120000000","13173127256","500000","KTOP 30","13267.60","162.69","1.24"
"0080G0","KODEX K방산TOP10","13400","470","3.63","13370.35","13230","13400","13010","3428022","45208516970","273360000000","284788478299","20400000","iSelect K방산 TOP10 지수(Price Return)","12740.27","421.59","3.42"
"0100K0","KODEX K방산TOP10레버리지","14580","880","6.42","14673.80","14260","14670","13855","2006792","28606831659","78732000000","79238535826","5400000","iSelect K방산 TOP10 지수(Price Return)","12740.27","421.59","3.42"
"0098F0","KODEX K원자력SMR","13075","185","1.44","13094.21","12890","13075","12740","866100","11175387935","107215000000","108681923618","8200000","iSelect K원자력SMR 지수(Price Return)","5080.60","71.38","1.42"
"0115D0","KODEX K조선TOP10","10775","340","3.26","10807.40","10520","10850","10475","1449437","15570055148","109905000000","109154699479","10200000","KRX K조선 TOP10 지수","6823.82","255.34","3.89"
"266360","KODEX K콘텐츠","13205","-150","-1.12","13210.68","13360","13485","13140","82811","1103766082","56781500000","56805928136","4300000","KRX K콘텐츠","2047.43","-23.83","-1.15"
"291890","KODEX MSCI EM선물(H)","10890","35","0.32","10853.20","10975","10975","10800","3229","35083605","7078500000","7054577395","650000","iEdge Emerging Markets Futures Index(ER)","1524.07","9.56","0.63"
"289040","KODEX MSCI KOREA ESG유니버설","20405","125","0.62","20487.18","20170","20465","20170","4059","82330045","14283500000","14341028446","700000","MSCI Korea ESG Universal Capped Index","2859.77","34.91","1.24"
"156080","KODEX MSCI Korea","32855","610","1.89","32780.66","32180","32855","32055","4139","134186985","22998500000","22946465324","700000","MSCI Korea Index","1596.60","24.78","1.58"
"278540","KODEX MSCI Korea TR","24215","355","1.49","24255.30","23830","24220","23765","18883","452341210","1939621500000","1942849662509","80100000","MSCI Korea TR Index","3073.03","47.69","1.58"
"251350","KODEX MSCI선진국","37935","-155","-0.41","37905.58","38080","38080","37715","80018","3033595556","496948500000","496563123370","13100000","MSCI World","4518.15","9.30","0.21"
"269420","KODEX S&P글로벌인프라(합성)","22185","60","0.27","22174.66","22100","22200","22055","4548","100615270","22340295000","22329884020","1007000","S&P Global Infrastructure Index","3562.98","3.78","0.11"
"433970","KODEX TDF2030액티브","13870","-50","-0.36","13853.92","13980","13980","13855","115635","1604474049","76978500000","77581974755","5550000","Samsung Korea Target Date 2030 Index (Price Return)","1869.56","-8.22","-0.44"
"433980","KODEX TDF2040액티브","15530","-45","-0.29","15512.27","15575","15575","15505","117418","1822925604","102498000000","102380979294","6600000","Samsung Korea Target Date 2040 Index (Price Return)","2177.88","-9.65","-0.44"
"434060","KODEX TDF2050액티브","16710","-55","-0.33","16680.72","16760","16760","16660","334713","5588275398","437802000000","438702851949","26200000","Samsung Korea Target Date 2050 Index (Price Return)","2524.95","-11.28","-0.44"
"0082V0","KODEX TDF2060액티브","11270","-35","-0.31","11254.16","11300","11300","11225","167447","1883937357","88469500000","89470544824","7850000","Samsung Korea Target Date 2060 Index","2612.75","-11.72","-0.45"
"329650","KODEX TRF3070","14450","-25","-0.17","14449.08","14450","14495","14435","133064","1923834443","262990000000","262973308609","18200000","FnGuide TRF 3070 지수","1865.33","-8.72","-0.47"
"329660","KODEX TRF5050","17865","-95","-0.53","17848.65","17965","17965","17815","64049","1145211295","105403500000","105307033882","5900000","FnGuide TRF 5050 지수","2315.56","-12.74","-0.55"
"329670","KODEX TRF7030","21720","-180","-0.82","21739.74","21900","21900","21665","37869","822830647","84708000000","84784973505","3900000","FnGuide TRF 7030 지수","2843.49","-18.02","-0.63"
"395170","KODEX Top10동일가중","13400","270","2.06","13423.76","13230","13410","13150","59435","792159860","64320000000","64434059984","4800000","FnGuide TOP10 동일가중 지수","2113.08","43.77","2.12"
"315930","KODEX Top5PlusTR","50095","665","1.35","50128.82","49225","50200","49025","64265","3180980459","1432717000000","1433684138791","28600000","FnGuide TOP 5 Plus Total Return 지수","5123.99","70.69","1.40"
"261220","KODEX WTI원유선물(H)","14000","-125","-0.88","14358.72","14070","14170","13910","389420","5460855146","83300000000","83280563287","5950000","S&P GSCI Crude Oil Index ER","132.37","-6.27","-4.52"
"271050","KODEX WTI원유선물인버스(H)","4125","40","0.98","4016.10","4095","4150","4070","532490","2187164320","14437500000","15060387874","3500000","S&P GSCI Crude Oil Index ER","132.37","-6.27","-4.52"
"468370","KODEX iShares미국인플레이션국채액티브","11650","-45","-0.38","11649.70","11630","11680","11625","13228","154127915","17941000000","17940535436","1540000","ICE U.S. Treasury Inflation Linked Bond Index(Total Return)","127.74","-0.19","-0.15"
"468630","KODEX iShares미국투자등급회사채액티브","12095","-20","-0.17","12077.94","12065","12115","12050","43436","525444780","35196450000","35146816863","2910000","Markit iBoxx USD Liquid Investment Grade Index(Total Return)","345.22","-0.25","-0.07"
"468380","KODEX iShares미국하이일드액티브","11945","-60","-0.50","11940.58","11945","11975","11855","180459","2154570621","114791450000","113554897281","9610000","ICE BofAML US HY Constrained Index(Total Return)","620.61","0.45","0.07"
"275290","KODEX 가치주","20350","315","1.57","20409.47","20030","20385","19950","2616","52928090","18315000000","18368521711","900000","MSCI Korea IMI Enhanced Value Capped","11904.19","185.48","1.58"
"117700","KODEX 건설","4715","75","1.62","4712.45","4620","4715","4550","777215","3604485732","39134500000","38642093167","8300000","KRX 건설","944.98","17.31","1.87"
"300950","KODEX 게임산업","6315","-60","-0.94","6306.07","6405","6405","6230","139880","882475764","38521500000","38467013112","6100000","FnGuide 게임 산업 지수","775.96","-9.46","-1.20"
"266390","KODEX 경기소비재","10320","140","1.38","10294.31","10185","10330","10185","10408","107040901","6192000000","6176585557","600000","KRX 경기소비재","1168.02","7.51","0.65"
"279530","KODEX 고배당주","14430","165","1.16","14463.76","14265","14430","14240","385948","5547612610","272727000000","267579503236","18900000","FnGuide 고배당 Plus 지수","22373.57","260.60","1.18"
"132030","KODEX 골드선물(H)","26575","-165","-0.62","26703.71","26635","26645","26415","241980","6422954982","438487500000","440611222125","16500000","S&P GSCI Gold Index(TR)","2269.32","-5.81","-0.26"
"280940","KODEX 골드선물인버스(H)","3300","0","0.00","3289.23","3330","3330","3285","9182","30274240","2805000000","2960308536","850000","S&P GSCI GOLD Index Excess Return","280.68","-0.75","-0.27"
"138910","KODEX 구리선물(H)","9485","-185","-1.91","9603.40","9680","9690","9375","1172357","11125894049","68292000000","62422078990","7200000","S&P GSCI North American Copper Index(TR)","843.74","-8.93","-1.05"
"471230","KODEX 국고채10년액티브","107720","-770","-0.71","107786.92","108645","108830","107690","137633","14885817039","600431280000","600804282630","5574000","KAP 국고채 10년 지수(TR)","112.78","-0.64","-0.56"
"439870","KODEX 국고채30년액티브","107620","-1295","-1.19","107671.57","109175","109490","107550","47517","5142495576","588250920000","590793920159","5466000","KAP 국고채 30년 총수익 지수","95.97","-0.92","-0.95"
"114260","KODEX 국고채3년","61625","-175","-0.28","61675.69","61845","61845","61615","58372","3601609844","413873500000","411253487645","6716000","MKF 국고채지수(총수익)","203.86","-0.44","-0.22"
"152380","KODEX 국채선물10년","67060","-435","-0.64","67058.42","67665","67745","67005","15494","1043329606","79264920000","79263053619","1182000","10년국채선물지수","1180.91","-8.04","-0.68"
"176950","KODEX 국채선물10년인버스","57115","360","0.63","57140.06","56610","57115","56610","259","14774630","23645610000","23655984109","414000","10년국채선물지수","1180.91","-8.04","-0.68"
"292770","KODEX 국채선물3년인버스","56510","105","0.19","56528.15","56510","56510","56510","180002","10178753020","22038900000","22045977819","390000","국채선물지수","1217.92","-2.90","-0.24"
"276990","KODEX 글로벌로봇(합성)","25155","85","0.34","24912.48","24840","27190","24810","120153","3033675437","35342775000","35002039143","1405000","ROBO Global Robotics & Automation UCITS Price Return Index","1214.53","7.89","0.65"
"476070","KODEX 글로벌비만치료제TOP2 Plus","12200","50","0.41","12224.73","12145","12210","11765","80598","978791465","64660000000","61734879105","5300000","iSelect 글로벌 비만치료제TOP2 Plus 지수(PR)","3168.87","-92.30","-2.83"
"0064K0","KODEX 금액티브","14205","-145","-1.01","14290.67","14200","14230","14130","641771","9102296866","234240450000","235653189627","16490000","Bloomberg Gold Spot NY 4pm USD Index","3932.02","-23.40","-0.59"
"0089D0","KODEX 금융고배당TOP10","10860","40","0.37","10893.74","10820","10995","10790","356956","3876824224","218286000000","218964117837","20100000","코스피 200 금융 고배당 TOP 10 지수","2245.66","6.31","0.28"
"498410","KODEX 금융고배당TOP10타겟위클리커버드콜","11720","-5","-0.04","11723.01","11720","11880","11675","932844","10957072387","576624000000","576772308207","49200000","코스피 200 금융 고배당 TOP 10 타겟 15%분배 위클리 커버드콜 지수","1057.35","-1.64","-0.15"
"102960","KODEX 기계장비","15345","170","1.12","15402.55","15250","15430","15240","165426","2536601281","22096800000","22179665932","1440000","KRX 기계장비","1671.40","25.01","1.52"
"404260","KODEX 기후변화솔루션","18920","650","3.56","18880.27","18300","18925","18225","1190","22202310","17028000000","16992238626","900000","KRX 기후변화 솔루션지수","3618.52","123.95","3.55"
"273140","KODEX 단기변동금리부채권액티브","114690","20","0.02","114666.58","114685","114690","114685","2627","301289641","308860170000","308797104369","2693000","KAP 단기변동금리부은행채권지수","146.17","0.03","0.02"
"153130","KODEX 단기채권","113365","25","0.02","113328.05","113350","113365","113350","14334","1624867772","747528810000","747285154058","6594000","KRW Cash 지수(총수익)","172.61","-0.01","-0.01"
"214980","KODEX 단기채권PLUS","114805","-5","0.00","114802.32","114810","114825","114800","41334","4745726788","1959147325000","1959101547161","17065000","KRW Cash PLUS 지수(총수익)","167.44","-0.01","-0.01"
"487950","KODEX 대만테크고배당다우존스","10900","15","0.14","10850.92","10885","10900","10815","11039","119821415","13080000000","13021101422","1200000","Dow Jones Taiwan Technology Dividend 30 Index(TWD)(PR)","2959.27","-4.00","-0.13"
"122630","KODEX 레버리지","62880","2075","3.41","63211.78","60380","62905","60255","21379157","1316652318236","4341864000000","4592335975394","69050000","코스피 200","696.39","10.63","1.55"
"445290","KODEX 로봇액티브","30090","1020","3.51","30054.49","28995","30090","28680","2574262","76355073809","664989000000","664204289876","22100000","iSelect K-로봇테마 지수","3611.67","89.23","2.53"
"488770","KODEX 머니마켓액티브","103310","10","0.01","103303.56","103305","103310","103305","495780","51218312928","7727794620000","7760370222273","74802000","KAP MMF 지수(TR)","119.41","0.01","0.01"
"321410","KODEX 멀티에셋하이인컴(H)","10620","25","0.24","10680.45","10630","10630","10585","82","868425","5310000000","5340226015","500000","Morningstar Multi-Asset High Income 10% Capped Index","1096.90","0.67","0.06"
"337120","KODEX 멀티팩터","23370","250","1.08","23547.99","23190","23370","23190","84","1956275","14022000000","14128796222","600000","FnGuide 멀티팩터 지수","14737.83","220.60","1.52"
"401470","KODEX 메타버스액티브","8330","5","0.06","8364.51","8325","8415","8300","57912","484370430","91213500000","91173117576","10950000","FnGuide K-메타버스 지수","1178.04","-5.47","-0.46"
"244620","KODEX 모멘텀Plus","16350","-20","-0.12","16419.26","16400","16415","16305","182","2979875","9810000000","9851555580","600000","FnGuide 모멘텀 Plus 지수","5346.04","-4.80","-0.09"
"275280","KODEX 모멘텀주","27840","230","0.83","27916.80","27620","27865","27570","1114","30805705","19488000000","19541761210","700000","MSCI Korea IMI Momentum Capped","9083.13","120.37","1.34"
"308620","KODEX 미국10년국채선물","12535","-40","-0.32","12535.67","12510","12560","12500","90050","1128998095","104040500000","106553161188","8300000","S&P 10-Year U.S. Treasury Note Futures KRW(ER)","241.23","-1.81","-0.75"
"0091C0","KODEX 미국10년국채액티브(H)","10030","35","0.35","10031.19","10035","10040","10025","171149","1716947053","164492000000","164511481714","16400000","KAP 미국 국채 10년 지수(총수익)","93.92","0.32","0.34"
"484790","KODEX 미국30년국채액티브(H)","8945","55","0.62","8947.20","8955","8955","8925","1285160","11493547601","695205400000","689023550074","77720000","KEDI-KAP 미국 국채 20+ 지수(TR)","73.97","0.65","0.89"
"304660","KODEX 미국30년국채울트라선물(H)","7670","45","0.59","7692.18","7685","7695","7670","117401","901952461","234702000000","235380648818","30600000","S&P Ultra T-Bond Futures Index(ER)","111.37","0.15","0.13"
"304670","KODEX 미국30년국채울트라선물인버스(H)","11610","-25","-0.21","11611.41","11605","11610","11605","11","127705","6966000000","6966845226","600000","S&P Ultra T-Bond Futures Index(ER)","111.37","0.15","0.13"
"481060","KODEX 미국30년국채타겟커버드콜(합성 H)","8290","45","0.55","8327.03","8275","8300","8275","936397","7763231990","895320000000","899319144493","108000000","Bloomberg U.S.Treasury 20+ Year(TLT)+ 12% Premium Covered Call index(TR)","935.07","0.35","0.04"
"0151S0","KODEX 미국AI반도체TOP3플러스","10265","-40","-0.39","10121.24","10095","10300","10070","3012549","30491522153","51325000000","53136490445","5000000","Akros 미국 AI 반도체 Top 3 플러스 지수 (Price Return)","18051.40","369.29","2.09"
"0041D0","KODEX 미국AI소프트웨어TOP10","15065","-375","-2.43","14990.25","14945","15075","14915","130297","1951245124","68545750000","68205625845","4550000","iSelect 미국 AI 소프트웨어 TOP10 지수(PR)","3669.39","-43.97","-1.18"
"487230","KODEX 미국AI전력핵심인프라","17930","-250","-1.38","17803.22","17800","17930","17700","1769795","31477817571","1509706000000","1466094998498","84200000","iSelect 미국AI전력핵심인프라 지수(Price Return)","7644.59","134.99","1.80"
"485540","KODEX 미국AI테크TOP10","15030","-210","-1.38","14945.64","14895","15035","14880","1677363","25083687820","319387500000","310869326624","21250000","KEDI 미국AI테크 TOP10 지수(PR)","12249.01","76.08","0.63"
"483280","KODEX 미국AI테크TOP10타겟커버드콜","12855","-150","-1.15","12799.61","12770","12870","12755","751674","9613707233","601614000000","599021573118","46800000","KEDI 미국 AI 테크 TOP10+15%프리미엄 지수(Total Return)","9950.98","63.48","0.64"
"428560","KODEX 미국ETF산업Top10 Indxx","17920","190","1.07","18031.78","17825","17975","17795","27661","495584712","14336000000","14425421959","800000","Indxx US ETF Industry Top10 Index(Price Return)","4114.87","26.55","0.65"
"379800","KODEX 미국S&P500","23220","-150","-0.64","23180.82","23100","23240","23080","17564022","406915569513","7681176000000","7645034459972","330800000","S&P 500","6944.47","17.87","0.26"
"449180","KODEX 미국S&P500(H)","15715","-30","-0.19","15695.48","15690","15720","15660","1164867","18265161864","750391250000","744750643140","47750000","S&P 500","6944.47","17.87","0.26"
"453660","KODEX 미국S&P500경기소비재","19420","-360","-1.82","19426.44","19325","19445","19260","33875","657126380","13594000000","13598508969","700000","S&P Consumer Discretionary Select Sector Index(Price Return)","2481.32","9.20","0.37"
"453650","KODEX 미국S&P500금융","19620","-105","-0.53","19571.24","19550","19620","19450","85855","1677345733","43164000000","44035287591","2200000","S&P Financial Select Sector Index(Price Return)","669.66","2.88","0.43"
"0005A0","KODEX 미국S&P500데일리커버드콜OTM","10030","-70","-0.69","10019.90","9995","10045","9980","181610","1817275029","126378000000","126250767721","12600000","S&P 500 Covered Call 1% OTM Daily Index(TR)","365.77","1.09","0.30"
"276970","KODEX 미국S&P500배당귀족커버드콜(합성 H)","7940","125","1.60","8040.68","7820","7945","7820","38110","302274810","37318000000","37791207927","4700000","S&P500 Dividend Aristocrats Covered Call(7.2% Premium) Index","112.66","0.33","0.29"
"0026E0","KODEX 미국S&P500버퍼3월액티브","11140","-50","-0.45","11268.60","11190","11190","11085","4091","45570210","75195000000","76063019022","6750000","S&P500 10% Buffered Index March Series (USD) TR","199.23","0.22","0.11"
"0068M0","KODEX 미국S&P500버퍼6월액티브","11835","25","0.21","11838.84","11820","11855","11820","225","2665245","59175000000","59194214826","5000000","S&P500 10% Buffered Index June Series (USD) TR","408.61","0.61","0.15"
"0089C0","KODEX 미국S&P500변동성확대시커버드콜","11290","-65","-0.57","11334.37","11280","11290","11245","7717","86899490","86368500000","86707911238","7650000","Cboe S&P 500 Volatility Contingent Daily Covered Call Index(Total Retrun)","3153.51","8.20","0.26"
"200030","KODEX 미국S&P500산업재(합성)","41580","-180","-0.43","41773.62","41310","41775","41310","3195","132750750","47359620000","47580155584","1139000","S&P Select Sector Industrial Index","1672.69","15.40","0.93"
"219480","KODEX 미국S&P500선물(H)","30300","-15","-0.05","30234.89","30235","30300","30205","7756","234481520","151500000000","151174469595","5000000","S&P 500 Futures Total Return Index","1048.05","2.43","0.23"
"0041E0","KODEX 미국S&P500액티브","14425","-95","-0.65","14387.25","14365","14445","14325","70915","1020490960","53372500000","53232832426","3700000","S&P 500","6944.47","17.87","0.26"
"218420","KODEX 미국S&P500에너지(합성)","16495","305","1.88","16471.42","16315","16495","16300","87380","1432566054","29344605000","29302651164","1779000","S&P Select Sector Energy Index","1002.85","-9.35","-0.92"
"463640","KODEX 미국S&P500유틸리티","14790","25","0.17","14804.38","14765","14830","14545","26253","386219760","14050500000","14064164131","950000","S&P Utilities Select Sector Index(Price Return)","883.70","9.12","1.04"
"463690","KODEX 미국S&P500커뮤니케이션","19700","-60","-0.30","19709.46","19630","19700","19540","3032","59353765","11820000000","11825674703","600000","S&P Communication Services Select Sector Index(Price Return)","606.94","-2.21","-0.36"
"463680","KODEX 미국S&P500테크놀로지","18510","-280","-1.49","18447.69","19065","19065","18310","41755","771689050","68487000000","68256444344","3700000","S&P Technology Select Sector Index(Price Return)","2929.86","15.01","0.52"
"453630","KODEX 미국S&P500필수소비재","12860","130","1.02","12890.36","12800","12890","12775","34116","437499951","14789000000","14823917598","1150000","S&P Consumer Staples Select Sector Index(Price Return)","833.36","1.47","0.18"
"453640","KODEX 미국S&P500헬스케어","14125","55","0.39","14100.85","14070","14125","14020","61833","869462669","66387500000","66273982781","4700000","S&P Health Care Select Sector Index(Price Return)","1587.27","-9.29","-0.58"
"185680","KODEX 미국S&P바이오(합성)","40170","800","2.03","40042.17","39745","40170","39745","6978","279406399","21169590000","21102223953","527000","S&P Biotechnology Select Industry Index","9714.85","-191.30","-1.93"
"0028X0","KODEX 미국금융테크액티브","12630","-95","-0.75","12661.80","12680","12680","12535","14577","183393307","21471000000","20891974303","1700000","iSelect 미국 차세대 파이낸셜 테크 지수(시장가격)","1209.53","-4.99","-0.41"
"379810","KODEX 미국나스닥100","24980","-265","-1.05","24907.15","24795","25010","24795","3804932","94678163331","5047209000000","5029999593293","202050000","NASDAQ 100","25547.08","81.14","0.32"
"449190","KODEX 미국나스닥100(H)","19540","-110","-0.56","19485.14","19470","19540","19430","288764","5621991602","506086000000","501742389891","25900000","NASDAQ 100","25547.08","81.14","0.32"
"494300","KODEX 미국나스닥100데일리커버드콜OTM","10230","-95","-0.92","10189.46","10165","10235","10150","1184791","12065794283","510477000000","508453878246","49900000","NASDAQ-100 Daily Covered Call 101 Index(TR)","305.90","1.49","0.49"
"409820","KODEX 미국나스닥100레버리지(합성 H)","15955","-185","-1.15","15846.74","15850","15960","15785","148079","2345169093","236134000000","234531701866","14800000","NASDAQ 100","25547.08","81.14","0.32"
"304940","KODEX 미국나스닥100선물(H)","28600","-155","-0.54","28489.79","28495","28600","28445","15834","451059339","112970000000","112534675759","3950000","NASDAQ 100","25547.08","81.14","0.32"
"409810","KODEX 미국나스닥100선물인버스(H)","6355","35","0.55","6370.56","6375","6390","6355","67754","431842415","19065000000","19111689702","3000000","NASDAQ 100","25547.08","81.14","0.32"
"411420","KODEX 미국나스닥AI테크액티브","20900","-345","-1.62","20783.34","20810","20900","20615","36288","753477224","105545000000","103916724266","5050000","Nasdaq CB Insights Metaverse US Index (Price Return)","1807.63","5.83","0.32"
"455030","KODEX 미국달러SOFR금리액티브(합성)","12650","-65","-0.51","12644.29","12610","12675","12595","132521","1674156916","644391000000","644099908271","50940000","Bloomberg SOFR Daily Total Return Index","122.83","0.01","0.01"
"261240","KODEX 미국달러선물","14910","-70","-0.47","14929.54","14850","14945","14850","164036","2443242599","75742800000","76289950132","5080000","미국달러선물지수","1640.20","-4.42","-0.27"
"261250","KODEX 미국달러선물레버리지","17800","-160","-0.89","17841.37","17685","17885","17675","93446","1661076924","42364000000","43354517442","2380000","미국달러선물지수","1640.20","-4.42","-0.27"
"261270","KODEX 미국달러선물인버스","7630","35","0.46","7631.53","7645","7655","7610","132095","1008268794","70882700000","71125856285","9290000","미국달러선물지수","1640.20","-4.42","-0.27"
"261260","KODEX 미국달러선물인버스2X","4825","35","0.73","4835.44","4855","4865","4800","1321354","6383023792","251913250000","253425268848","52210000","미국달러선물지수","1640.20","-4.42","-0.27"
"0144M0","KODEX 미국드론UAM TOP10","11775","180","1.55","11784.12","11715","11780","11715","344619","4046311891","41801250000","41833611968","3550000","iSelect 미국드론UAM TOP10 지수(Price Return)","6195.63","54.47","0.89"
"280930","KODEX 미국러셀2000(H)","15350","155","1.02","15303.77","15285","15362","15270","45575","697927289","35305000000","35198682089","2300000","FTSE Russell 2000 Index","2674.56","22.92","0.86"
"0048J0","KODEX 미국머니마켓액티브","14735","-70","-0.47","14726.19","14690","14770","14680","797208","11744099320","568122660000","578312030958","38556000","KAP 미국 머니마켓 지수","150.24","-0.78","-0.52"
"390390","KODEX 미국반도체","39660","120","0.30","39014.90","38950","39660","38840","1023941","39996383913","809064000000","795903889428","20400000","MVIS US Listed Semiconductor 25 Index","11947.68","251.81","2.15"
"489250","KODEX 미국배당다우존스","11685","160","1.39","11685.60","11590","11690","11590","341129","3978805508","378594000000","376276234319","32400000","Dow Jones U.S. Dividend 100 Price Return Index","6152.72","-4.94","-0.08"
"483290","KODEX 미국배당다우존스타겟커버드콜","10030","165","1.67","10060.79","9950","10035","9950","230227","2302867564","158474000000","155942196606","15800000","Dow Jones U.S. Dividend 100 10% Premium Covered Call Index(Total Return)","493.98","-0.92","-0.18"
"441640","KODEX 미국배당커버드콜액티브","12900","-20","-0.15","12903.41","12860","12915","12825","1635929","21055954493","1240335000000","1240662841478","96150000","S&P 500","6944.47","17.87","0.26"
"352560","KODEX 미국부동산리츠(H)","11815","170","1.46","11805.55","11765","11845","11765","95478","1127742795","29537500000","29513872614","2500000","Dow Jones U.S. Real Estate PR Index","368.57","2.51","0.69"
"314250","KODEX 미국빅테크10(H)","53595","-620","-1.14","53347.73","53565","53595","53245","695579","37093457838","701558550000","697788262509","13090000","NYSE U.S. Big TECH 10 INDEX","15553.67","0.23","0.00"
"473460","KODEX 미국서학개미","24435","-155","-0.63","24345.70","24300","24435","24130","123442","2995612264","366525000000","356664435914","15000000","iSelect 서학개미 지수(PR)","6195.39","-18.83","-0.30"
"0144L0","KODEX 미국성장커버드콜액티브","9985","-70","-0.70","9938.09","9890","9985","9875","1622202","16112783093","214178250000","214662823304","21450000","NASDAQ 100","25547.08","81.14","0.32"
"390400","KODEX 미국스마트모빌리티S&P","7775","40","0.52","7817.67","7735","7790","7695","5383","41672057","10885000000","10162971143","1400000","S&P Kensho Smart Transportation","217.06","0.00","0.00"
"0132H0","KODEX 미국원자력SMR","12490","215","1.75","12423.83","12375","12490","12315","512562","6359317490","88679000000","88209212888","7100000","iSelect 미국원자력SMR 지수(Price Return)","12655.66","71.41","0.57"
"437080","KODEX 미국종합채권ESG액티브(H)","101345","125","0.12","101454.26","101505","101570","101345","29564","2998600430","398083160000","395468686171","3928000","Bloomberg MSCI US Aggregate 2bn ex Securitized SRI Capped Index(Total Return)","128.17","-0.14","-0.11"
"419420","KODEX 미국클린에너지나스닥","9575","-70","-0.73","9546.61","9600","9605","9465","4182","39900681","16277500000","15274576499","1700000","Nasdaq Clean Edge Green Energy Index (Price Return)","645.05","2.86","0.45"
"491090","KODEX 미국테크TOP3플러스","16600","-200","-1.19","16537.06","16480","16600","16465","20431","337339989","31540000000","31420421757","1900000","KEDI 미국테크TOP3플러스 지수(Price Return)","7271.92","27.16","0.37"
"0038A0","KODEX 미국휴머노이드로봇","16520","-85","-0.51","16457.39","16395","16520","16370","465168","7644207065","332052000000","334907866264","20100000","iSelect 미국 휴머노이드 로봇 지수(Price Return)","10293.27","22.05","0.21"
"244580","KODEX 바이오","12155","30","0.25","12164.78","12150","12195","12030","1232308","14932595017","279078800000","285142430569","22960000","FnGuide 바이오 지수","4226.51","16.23","0.39"
"091160","KODEX 반도체","71150","600","0.85","71278.66","69605","71150","69175","1657298","116250887693","2198535000000","2206074532563","30900000","KRX 반도체","7431.96","68.91","0.94"
"494310","KODEX 반도체레버리지","39295","795","2.06","39577.86","37790","39300","37255","2216693","84896513551","642473250000","647098026269","16350000","KRX 반도체","7431.96","68.91","0.94"
