종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"455660","ACE 미국하이일드액티브(H)","9835","5","0.05","9807.13","9830","9835","9820","57278","563148317","41307000000","41189940689","4200000","Markit iBoxx USD Liquid High Yield Total Return Index","395.63","0.31","0.08"
"245710","ACE 베트남VN30(합성)","32160","-740","-2.25","32719.05","32835","32895","32000","89985","2910809751","331248000000","337006227215","10300000","VN30 Index(PR)","2047.48","-19.62","-0.95"
"131890","ACE 삼성그룹동일가중","29345","305","1.05","29446.53","29050","29365","29050","1679","49124430","14672500000","14723263267","500000","MKF SAMs EW 지수","29041.51","351.86","1.23"
"108450","ACE 삼성그룹섹터가중","26330","590","2.29","26382.26","25680","26335","25545","12654","329959347","73724000000","73870321250","2800000","MKF SAMs SW","26011.68","546.93","2.15"
"316300","ACE 싱가포르리츠","14995","-20","-0.13","14993.09","14930","15065","14930","3634","54454002","7497500000","7496546811","500000","Morningstar Singapore REIT Yield Focus Index(PR)","1334.52","-7.34","-0.55"
"277540","ACE 아시아TOP50","25970","-195","-0.75","26095.81","26165","26180","25665","4035","104611760","20776000000","20876649792","800000","S&P ASIA50 Price Return Index","7401.66","-50.86","-0.68"
"483420","ACE 애플밸류체인액티브","15500","-110","-0.70","15434.20","15520","15520","15315","13473","207398549","19375000000","19292751645","1250000","Bloomberg Top 30 Supply Chain Plus Apple Price Return Index","3706.29","-0.85","-0.02"
"483320","ACE 엔비디아밸류체인액티브","16375","-170","-1.03","16308.50","16155","16375","16130","951623","15468559196","189131250000","185916846797","11550000","KEDI 글로벌AI반도체 지수","7790.48","173.70","2.28"
"448540","ACE 엔비디아채권혼합","25110","-105","-0.42","25121.35","25140","25140","24975","127786","3203057163","283743000000","283871202698","11300000","Bloomberg Blended NVIDIA Equity and Korean Bond Index","9499.28","-57.99","-0.61"
"0099L0","ACE 우량회사채(AA-이상)액티브","99250","-70","-0.07","99190.88","99405","99405","99250","25134","2495343045","126146750000","126071602564","1271000","KIS 1~3년 우량크레딧(AA-이상) 총수익지수","117.56","-0.11","-0.09"
"433500","ACE 원자력TOP10","49280","450","0.92","49173.18","48925","49280","48225","81239","3951923590","157696000000","157354178246","3200000","DeepSearch 원자력 TOP 10지수","4919.09","42.85","0.88"
"0102X0","ACE 유럽방산TOP10","11015","-170","-1.52","11011.71","11310","11310","10970","63239","696322096","12116500000","12112882181","1100000","NYSE FactSet Europe Defense TOP10 Index (Price Return)","722.12","-0.57","-0.08"
"487920","ACE 인도시장대표BIG5그룹액티브","8930","-55","-0.61","8920.90","8990","8990","8880","3432","30554224","9823000000","9812988820","1100000","Indxx India Big 5 Conglomerates Index (Price Return)","4632.96","0.00","0.00"
"487910","ACE 인도컨슈머파워액티브","9400","-70","-0.74","9395.17","9470","9470","9345","5457","51282297","11280000000","11274209841","1200000","Indxx India Super Consumption Index (Price Return)","3360.12","0.00","0.00"
"145670","ACE 인버스","2650","-40","-1.49","2642.90","2700","2700","2645","105747","282734807","2385000000","2378609757","900000","코스피 200 선물지수","3436.30","58.58","1.73"
"497520","ACE 일라이릴리밸류체인","13500","40","0.30","13502.34","13460","13540","13422","4607","62093991","9450000000","9451638063","700000","Solactive Eli Lilly Value Chain Index(PR)","3419.94","24.17","0.71"
"238720","ACE 일본Nikkei225(H)","38850","-80","-0.21","38989.75","38785","38850","38510","8995","347644047","31080000000","31191797872","800000","Nikkei 225","54110.50","-230.73","-0.42"
"196030","ACE 일본TOPIX레버리지(H)","74030","1040","1.42","72727.90","72565","74030","72565","1645","120791130","37015000000","36363947655","500000","TOPIX","3668.98","24.82","0.68"
"205720","ACE 일본TOPIX인버스(합성 H)","1706","-11","-0.64","1718.15","1723","1723","1703","28461","48670445","6482800000","6528980246","3800000","TOPIX","3668.98","24.82","0.68"
"469160","ACE 일본반도체","19000","-30","-0.16","18815.37","19360","19360","18470","5311","99178975","9500000000","9407686063","500000","Bloomberg Japan Semiconductor Select Top 25 Index(Price Return)","5289.55","21.28","0.40"
"0021C0","ACE 장기자산배분액티브","12900","-75","-0.58","12896.97","13045","13045","12810","11342","145743265","12900000000","12896973704","1000000","Bloomberg Multi Asset Target-date 2080 KRW Index","4078.16","-27.11","-0.66"
"356540","ACE 종합채권(AA-이상)액티브","104920","-355","-0.34","104874.39","105410","105500","104830","3432","360577815","966103360000","986238794054","9208000","KIS 종합채권 AA-이상 총수익 지수(Total return Index)","118.79","-0.41","-0.34"
"447430","ACE 주주환원가치주액티브","15020","-60","-0.40","15080.24","15060","15160","14930","32338","485744446","76602000000","76909246080","5100000","FnGuide 올라운드 가치주 지수","1040.23","4.45","0.43"
"416090","ACE 중국과창판STAR50","12150","-90","-0.74","12280.57","12190","12260","11965","30928","374742904","17010000000","15964740527","1400000","STAR 50 Index(Price Return)","1493.95","-6.96","-0.46"
"168580","ACE 중국본토CSI300","36160","-285","-0.78","36231.42","36425","36425","35645","2946","106655225","133792000000","130433120941","3700000","CSI 300 Index","4751.43","9.50","0.20"
"219900","ACE 중국본토CSI300레버리지(합성)","4955","-25","-0.50","5014.81","4900","4990","4900","8281","41108760","7928000000","8023693543","1600000","CSI 300 Index","4751.43","9.50","0.20"
"272910","ACE 중장기국공채액티브","106535","-395","-0.37","106616.40","106960","106960","106535","228","24379590","63814465000","63863223536","599000","KIS 종합채권국공채1-10Y지수","155.17","-0.41","-0.26"
"0087F0","ACE 차이나AI빅테크TOP2+액티브","11750","-10","-0.09","11762.55","11955","11955","11635","28700","335686573","15862500000","14703188292","1350000","Solactive China AI Big Tech TOP2+ Index (Price Return)","1941.04","-15.20","-0.78"
"371870","ACE 차이나항셍테크","9175","-175","-1.87","9315.86","9350","9350","9135","15863","145767979","17432500000","17700131981","1900000","Hang Seng TECH Index","5828.35","-79.91","-1.35"
"380340","ACE 코리아AI테크핵심산업","16775","-25","-0.15","16821.98","16760","16925","16685","2182","36704135","8387500000","8410992221","500000","FnGuide 코리아AI테크핵심산업지수 (Price Return)","3360.00","2.24","0.07"
"496120","ACE 코리아밸류업","20695","285","1.40","20743.31","20425","20695","20425","1478","30339155","17590750000","17631815313","850000","코리아 밸류업 지수","2076.32","28.18","1.38"
"354500","ACE 코스닥150","15870","100","0.63","15975.52","15740","15885","15680","43880","692590227","49197000000","49524123746","3100000","코스닥 150","1588.79","12.59","0.80"
"305050","ACE 코스피","49950","820","1.67","50053.69","49280","49950","48910","4704","233543171","22477500000","22524160600","450000","코스피","4797.55","74.45","1.58"
"457480","ACE 테슬라밸류체인액티브","22075","-355","-1.58","22062.91","21960","22080","21935","1595730","35087662136","1328915000000","1327084292941","60200000","Bloomberg EV Supporters Plus Tesla Price Return Index","10704.60","109.24","1.03"
"469170","ACE 포스코그룹포커스","6725","520","8.38","6724.30","6325","6790","6270","4499423","29590108984","102556250000","102545551756","15250000","FnGuide 포스코그룹포커스 지수(시장가격)","3352.62","260.23","8.42"
"495710","BNK 26-06 특수채(AAA이상)액티브","51240","15","0.03","51215.29","51240","51240","51240","1","51240","107911440000","107859395863","2106000","KAP 26-06 특수채 총수익 지수(AAA이상)","107.59","0.00","0.00"
"466810","BNK 2차전지양극재","6080","90","1.50","6095.52","6015","6105","5950","62118","374722994","10944000000","10971928367","1800000","iSelect 2차전지양극재 지수","4737.42","91.90","1.98"
"457930","BNK 미래전략기술액티브","23280","315","1.37","23302.58","22885","23280","22885","399","9206615","12804000000","13981549999","550000","iSelect 미래전략기술 지수 (PR)","5303.25","88.75","1.70"
"487750","BNK 온디바이스AI","16250","350","2.20","16288.68","15900","16250","15750","3577","57317124","36562500000","36649525921","2250000","FnGuide 온디바이스AI 지수","4394.07","104.86","2.44"
"445690","BNK 주주가치액티브","24780","465","1.91","24710.10","24385","24780","24385","539","13205070","24780000000","24710100321","1000000","FnGuide 주주가치 지수","3228.31","25.29","0.79"
"0120J0","BNK 카카오그룹포커스","10015","-40","-0.40","9982.70","10060","10100","9970","13141","131690579","9013500000","8984434117","900000","FnGuide 카카오그룹 포커스 지수","469.08","-3.18","-0.67"
"486240","DAISHIN343 AI반도체&인프라액티브","16485","-35","-0.21","16490.67","16470","16485","16250","7524","123223601","49455000000","49472003130","3000000","FnGuide AI반도체&인프라 지수","6121.64","28.36","0.47"
"434960","DAISHIN343 K200","70710","1125","1.62","70748.26","69540","70710","69540","125","8723950","49497000000","49523779479","700000","코스피 200","696.39","10.63","1.55"
"0098Z0","FOCUS 200","59655","820","1.39","59805.43","58640","59660","58640","38","2268425","41758500000","41863798118","700000","코스피 200","696.39","10.63","1.55"
"448570","FOCUS AI코리아액티브","22900","205","0.90","22983.20","22850","23015","22765","9376","214703365","46945000000","47115561248","2050000","코스피","4797.55","74.45","1.58"
"285690","FOCUS ESG리더스","17065","90","0.53","17070.43","16975","17065","16965","94","1595905","10239000000","10242256222","600000","KRX ESG Leaders 150","2617.82","21.41","0.82"
"0073X0","FOCUS 알리바바미국채커버드콜혼합","11645","-35","-0.30","11703.08","11690","11735","11580","13291","154694993","9898250000","8777309044","850000","KEDI 알리바바미국채커버드콜혼합지수(TR)","1244.53","2.33","0.19"
"293180","HANARO 200","70250","1205","1.75","70292.12","68960","70255","68830","92889","6490124015","621712500000","622085249405","8850000","코스피 200","696.39","10.63","1.55"
"407310","HANARO 200 TOP10","14375","315","2.24","14393.48","14180","14375","14100","24942","355531730","5031250000","5037719249","350000","코스피 200 Top 10 지수","2225.78","46.11","2.12"
"332930","HANARO 200TR","91300","1600","1.78","91326.70","89495","91300","89420","1189","107717700","114125000000","114158374650","1250000","코스피 200 TR","916.56","13.99","1.55"
"304780","HANARO 200선물레버리지","69935","2105","3.10","70303.81","67580","69945","67280","402","27641257","83922000000","84364571268","1200000","코스피 200 선물지수","3436.30","58.58","1.73"
"306520","HANARO 200선물인버스","4905","-80","-1.60","4897.70","4995","4995","4900","4188","20622335","1716750000","1714195751","350000","코스피 200 선물지수","3436.30","58.58","1.73"
"0123S0","HANARO 26-12 은행채(AA+이상)액티브","10030","-5","-0.05","10033.28","10035","10035","10030","201","2016530","61684500000","61704688840","6150000","KIS 은행채2612만기형 지수","108.70","-0.01","-0.01"
"0091M0","HANARO 27-06 회사채(AA-이상)액티브","10035","-10","-0.10","10039.51","10045","10045","10035","211","2117395","102858750000","102904940194","10250000","KIS 회사채(AA-이상)2706만기형지수(총수익)","108.11","-0.06","-0.06"
"448490","HANARO 32-10 국고채액티브","55050","-335","-0.60","55036.04","55555","55590","54970","3840","211742069","24882600000","24876289054","452000","KAP 32-10 국고채 10년 총수익지수","110.20","-0.66","-0.60"
"454320","HANARO CAPEX설비투자iSelect","36880","180","0.49","36809.20","36955","37210","36485","46280","1705667595","97732000000","97544391452","2650000","iSelect CAPEX 설비투자 지수(시장가격)","5282.29","15.90","0.30"
